,Pen1,Pen2,Pen3,Pen4,Pen5,Pen6
129,0.0,0.0,4.0,0.0,22.0,0.0
130,5.0,4.0,1.6,0.0,11.0,12.0
131,0.0,6.0,4.8,0.0,44.0,0.0
132,5.0,4.0,1.6,0.0,33.0,0.0
133,15.0,22.0,4.0,5.0,11.0,28.0
134,0.0,14.0,0.0,0.0,11.0,70.0
135,0.0,42.0,5.6,0.0,33.0,0.0
136,10.0,20.0,0.0,6.0,11.0,25.0
138,0.0,12.0,0.0,0.0,0.0,36.0
139,0.0,18.0,0.0,0.0,22.0,0.0
140,0.0,0.0,0.0,0.0,0.0,228.0
141,40.0,22.0,4.0,0.0,11.0,10.0
142,10.0,14.0,2.4000000000000004,0.0,33.0,36.0
143,10.0,28.0,0.0,0.0,11.0,12.0
144,0.0,0.0,1.6,0.0,0.0,2.0
145,0.0,6.0,0.0,1.0,11.0,8.0
146,20.0,8.0,6.3999999999999995,0.0,33.0,8.0
147,0.0,6.0,7.199999999999999,10.0,33.0,30.0
148,0.0,10.0,4.8,0.0,22.0,12.0
149,0.0,0.0,7.999999999999999,10.0,0.0,0.0
150,30.0,32.0,7.999999999999999,0.0,22.0,0.0
